fiscal_year,fiscal_period,cik,filed,rd_expense,z_score,symbol
2013.0,FY,1078075,2014-05-20,181478000,-0.2366058780352462,NTCT
2013.0,FY,1078271,2013-08-30,135491000,-0.2492016441734297,EXTR
2013.0,FY,1082324,2014-03-03,4801000,-0.28499742725558774,VHC
2013.0,FY,1086222,2014-03-03,220956000,-0.22579291664173914,AKAM
2013.0,FY,1092699,2014-02-20,24874000,-0.2794994644902028,SPSC
2013.0,FY,1101302,2014-02-20,154240000,-0.24406632290166153,ENTG
2013.0,FY,1101680,2014-03-05,55248000,-0.2711800742129247,DZSI
2013.0,FY,1102993,2014-03-14,86670000,-0.2625736384029349,LPSN
2013.0,FY,1107843,2014-02-28,103379000,-0.25799706988568205,QLYS
2013.0,FY,1108524,2014-03-05,1348624000,0.08307355452431024,CRM
2013.0,FY,1111928,2014-02-28,98483000,-0.2593380764965187,IPGP
2013.0,FY,1113232,2014-03-03,122333000,-0.25280559944005326,ACLS
2013.0,FY,1114925,2013-08-29,13658000,-0.28257150904640055,LTRX
2013.0,FY,1120914,2014-03-14,40537000,-0.2752093937088435,PDFS
2013.0,FY,1121788,2014-02-19,1287864000,0.06643148718884523,GRMN
2013.0,FY,1122904,2014-02-25,194933000,-0.232920574941127,NTGR
2013.0,FY,1126741,2014-06-11,35219000,-0.27666598544831034,GSIT
2013.0,FY,1131554,2014-02-26,158693000,-0.24284665328604557,SNCR
2013.0,FY,1137789,2013-08-08,3014000000,0.5392173914378616,STX
2013.0,FY,1138639,2014-02-21,369147000,-0.18520363750233992,INFN
2013.0,FY,1158114,2014-03-06,38683000,-0.27571720135927064,AAOI
2013.0,FY,1166388,2014-03-31,353446000,-0.18950411642324408,VRNT
2013.0,FY,1169561,2014-05-02,142426000,-0.2473021587064868,CVLT
2013.0,FY,1173489,2014-03-14,63002000,-0.2690562659489485,CEVA
2013.0,FY,1239819,2014-04-10,7507955,-0.28425599658764705,LUNA
2013.0,FY,1262039,2014-03-03,247315000,-0.21857322847690172,FTNT
2013.0,FY,1274494,2014-02-26,407283000,-0.17475824777381305,FSLR
2013.0,FY,1275014,2014-03-12,16220000,-0.2818697813223475,UCTT
2013.0,FY,1280058,2014-02-26,178009000,-0.23755603161633124,BLKB
2013.0,FY,1280263,2014-04-04,129224000,-0.25091816550310975,AMBA
2013.0,FY,1313275,2014-03-11,55044000,-0.27123594948837626,BCOV
2013.0,FY,1325702,2015-02-12,240706000,-0.2203834230624858,MX
2013.0,FY,1327567,2013-09-25,223470000,-0.22510433604132177,PANW
2013.0,FY,1327811,2014-03-31,346795000,-0.19132581474200935,WDAY
2013.0,FY,1333822,2013-11-26,12035000,-0.28301604616433107,LEDS
2013.0,FY,1336920,2014-03-27,166000000,-0.24084527761092636,LDOS
2013.0,FY,1341439,2013-06-26,13892000000,3.518684285367888,ORCL
2013.0,FY,1350102,2014-03-28,42070000,-0.27478950744772984,ASTI
2013.0,FY,1356093,2014-03-11,4846000,-0.2849851018271793,CREX
2013.0,FY,1362190,2014-03-31,56515,-0.2862969341489732,AEYE
2013.0,FY,1373715,2014-02-28,134803000,-0.24939008627887405,NOW
2013.0,FY,1375365,2013-09-11,187539000,-0.23494577977783582,SMCI
2013.0,FY,1377789,2013-09-23,115900000,-0.25456758790563994,AVNW
2013.0,FY,1378590,2013-12-20,2821000,-0.28553974610555843,BLIN
2013.0,FY,1384905,2014-02-26,70048000,-0.26712637775859815,RNG
2013.0,FY,1385157,2013-11-15,1764000000,0.1968443800927124,TEL
2013.0,FY,1387467,2013-08-30,87933000,-0.26222770471227175,AOSL
2013.0,FY,1389002,2014-02-28,41800000,-0.2748634600181804,MRIN
2013.0,FY,1391127,2014-02-20,59348000,-0.27005709073571266,EGIO
2013.0,FY,1393883,2014-02-14,48978000,-0.272897417237832,DHX
2013.0,FY,1398805,2014-03-31,28698,-0.2863045531810185,BEEM
2013.0,FY,1402436,2014-02-27,135291000,-0.2492564238552449,SSNC
2013.0,FY,1405495,2014-02-24,194955000,-0.23291454917612733,IDCC
2013.0,FY,1406666,2014-02-20,213772000,-0.22776060281254198,CALX
2013.0,FY,1415404,2014-02-21,188557000,-0.23466695119739633,SATS
2013.0,FY,1438231,2014-02-21,49357000,-0.27279360974079214,DMRC
2013.0,FY,1463101,2014-03-04,165349000,-0.24102358547523492,ENPH
2013.0,FY,1463972,2014-04-09,2904800,-0.28551679341887787,VUZI
2013.0,FY,1467373,2013-10-29,1756675000,0.19483807424622981,ACN
2013.0,FY,1477294,2014-02-06,154619000,-0.24396251540462166,ST
2013.0,FY,1487952,2014-03-12,22500000,-0.2801496993133495,VPG
2013.0,FY,1493594,2013-12-05,112569000,-0.2554799435062725,MTSI
2013.0,FY,1493761,2013-11-26,3396418,-0.2853821400308047,HEAR
2013.0,FY,1511737,2013-09-13,49028000,-0.2728837223173782,UI
2013.0,FY,1528396,2013-09-27,151581000,-0.2447946187713949,GWRE
2013.0,FY,1565228,2014-03-06,10274000,-0.28349838126271415,VISL
2013.0,FY,1571123,2014-04-09,15000000,-0.2822039373814204,SAIC
2013.0,Q1,2488,2013-05-06,680000000,0.8287293147750056,AMD
2013.0,Q1,4127,2013-01-31,104995000,-0.10898092766379533,SWKS
2013.0,Q1,6281,2013-02-19,249542000,0.12674433109708735,ADI
2013.0,Q1,6951,2013-02-21,608000000,0.7113127054314456,AMAT
2013.0,Q1,8146,2013-06-04,2097000,-0.27678557027815126,ALOT
2013.0,Q1,21535,2013-05-08,21830000,-0.24460526538681143,COHU
2013.0,Q1,23197,2012-12-06,19733000,-0.24802502413394262,CMTL
2013.0,Q1,24741,2013-04-26,134000000,-0.0616799727469904,GLW
2013.0,Q1,26058,2013-04-25,12361000,-0.26004718030173046,CTS
2013.0,Q1,28823,2013-05-01,39831000,-0.21524948226468057,DBD
2013.0,Q1,29002,2013-05-10,17244000,-0.25208405108749987,DIOD
2013.0,Q1,39020,2012-09-14,2613000,-0.27594408457785574,FEIM
2013.0,Q1,47217,2013-03-11,1580000000,2.2964369315695046,HPQ
2013.0,Q1,50863,2013-04-29,4928000000,7.756309266045041,INTC
2013.0,Q1,51143,2013-04-30,3245000000,5.0116960226393275,IBM
2013.0,Q1,56978,2013-01-31,32401000,-0.22736622403443962,KLIC
2013.0,Q1,65770,2013-05-10,6192000,-0.27010750062173633,MVIS
2013.0,Q1,68505,2013-04-24,516000000,0.5612803712702302,MSI
2013.0,Q1,70866,2013-05-09,101000000,-0.11549591869612202,VYX
2013.0,Q1,78749,2013-08-02,10896000,-0.2624362821446237,AGYS
2013.0,Q1,84748,2013-05-01,10592000,-0.2629320411618521,ROG
2013.0,Q1,87050,2013-05-08,2321000,-0.27642027416019355,NEON
2013.0,Q1,88941,2013-06-07,58642000,-0.1845727622874347,SMTC
2013.0,Q1,97476,2013-05-03,928000000,1.233164302513934,TXN
2013.0,Q1,101984,2013-05-09,7704000,-0.2676417518255215,UEIC
2013.0,Q1,103145,2013-11-04,44043000,-0.20838061061808233,VECO
2013.0,Q1,317788,2013-08-14,2032000,-0.27689157138380865,APPS
2013.0,Q1,319201,2012-10-26,227504000,0.09080506392051273,KLAC
2013.0,Q1,320193,2013-01-24,1768000000,2.6030247448554666,AAPL
2013.0,Q1,320340,2013-05-15,1285000,-0.2781097687057481,CCRD
2013.0,Q1,350868,2013-08-01,1417000,-0.27789450492195156,ITI
2013.0,Q1,351789,2013-05-09,245000,-0.2798057863962662,ELSE
2013.0,Q1,351998,2013-05-15,2597000,-0.2759701771577099,DAIO
2013.0,Q1,356037,2013-02-14,827000,-0.2788566688040724,CSPI
2013.0,Q1,704532,2013-05-07,14923000,-0.25586910595258877,ONTO
2013.0,Q1,707549,2012-11-01,265870000,0.15337180883822132,LRCX
2013.0,Q1,708821,2013-05-09,7689000,-0.2676662136191348,PAR
2013.0,Q1,709283,2013-08-09,35243000,-0.22273152953785078,QMCO
2013.0,Q1,713425,2012-09-07,4056000,-0.2735908600322619,AMSWA
2013.0,Q1,719733,2012-11-09,2206000,-0.2766078145778951,KTCC
2013.0,Q1,720500,2013-02-07,5296000,-0.2715686850935673,ASYS
2013.0,Q1,722572,2012-11-14,1208000,-0.27823533924629607,FKWL
2013.0,Q1,723125,2013-01-07,454000000,0.460171624335498,MU
2013.0,Q1,724004,2013-08-07,965000,-0.27863162030283056,MLAB
2013.0,Q1,724910,2013-07-24,1650937,-0.27751300368111814,NVEC
2013.0,Q1,736012,2013-05-14,797000,-0.27890559239129886,INTZ
2013.0,Q1,746838,2013-05-03,37000000,-0.21986623811261974,UIS
2013.0,Q1,751978,2013-05-01,19698000,-0.24808210165237352,VICR
2013.0,Q1,763532,2012-10-30,2816000,-0.27561303497095657,LYTS
2013.0,Q1,769397,2013-06-05,303500000,0.21473829508264022,ADSK
2013.0,Q1,771266,2013-05-09,7249771,-0.2683825022289315,KOPN
2013.0,Q1,772406,2013-07-25,53440000,-0.19305611231250688,CRUS
2013.0,Q1,779152,2012-11-07,29581000,-0.23196504123372905,JKHY
2013.0,Q1,780571,2013-05-03,88564000,-0.13577637638774023,ITRI
2013.0,Q1,789019,2012-10-18,4789000000,7.529629978562335,MSFT
2013.0,Q1,793524,2013-05-07,1114174,-0.2783883493961331,REFR
2013.0,Q1,797721,2013-08-07,21458000,-0.24521191786841984,VSAT
2013.0,Q1,804328,2013-01-30,1979000000,2.9471206416817326,QCOM
2013.0,Q1,806172,2013-07-15,479664,-0.27942309957383565,SOTK
2013.0,Q1,807863,2013-02-06,2581859,-0.2759948688921831,MITK
2013.0,Q1,808326,2013-02-06,12370000,-0.2600325032255625,EMKR
2013.0,Q1,810136,2013-03-06,9283000,-0.2650667403511676,PLAB
2013.0,Q1,814547,2013-01-30,27601000,-0.23519399799067695,FICO
2013.0,Q1,816761,2013-05-03,96000000,-0.12364984990053592,TDC
2013.0,Q1,817720,2012-11-02,61028000,-0.18068170631668837,SYNA
2013.0,Q1,820318,2012-11-08,10748000,-0.26267763850827436,COHR
2013.0,Q1,827054,2013-08-09,121911000,-0.08139454761302228,MCHP
2013.0,Q1,833640,2013-05-03,22912000,-0.2428407546741763,POWI
2013.0,Q1,840715,2013-05-06,3874000,-0.2738876631281026,CLRO
2013.0,Q1,849399,2013-07-31,510000000,0.5514956538249335,GEN
2013.0,Q1,851205,2013-04-29,21682000,-0.2448466217504621,CGNX
2013.0,Q1,851310,2013-05-08,52014000,-0.19538161349200572,HLIT
2013.0,Q1,855658,2013-05-07,37260000,-0.2194422336899902,LSCC
2013.0,Q1,857005,2013-02-06,112422000,-0.09686907825275895,PTC
2013.0,Q1,864749,2013-05-02,133843000,-0.061936006186809,TRMB
2013.0,Q1,867773,2013-05-07,29896000,-0.23145134356785096,SPWR
2013.0,Q1,877212,2013-05-02,42274000,-0.21126547147820396,ZBRA
2013.0,Q1,882508,2013-05-08,4810000,-0.2723612472066363,QUIK
2013.0,Q1,883241,2013-03-04,290385000,0.1933505335334626,SNPS
2013.0,Q1,884144,2013-05-15,1291000,-0.27809998398830277,ASUR
2013.0,Q1,889331,2013-05-03,10876000,-0.2624688978694414,LFUS
2013.0,Q1,890394,2013-05-03,12826000,-0.25928886469971996,PRSO
2013.0,Q1,895419,2012-10-17,71949000,-0.16287188978000758,WOLF
2013.0,Q1,896878,2012-11-29,341000000,0.27589277911574434,INTU
2013.0,Q1,897723,2013-02-04,9528000,-0.26466719772215136,SANM
2013.0,Q1,898293,2013-01-08,13534000,-0.25813426804117495,JBL
2013.0,Q1,909494,2013-05-15,2246975,-0.2765409931116749,TCX
2013.0,Q1,910638,2013-04-30,11437000,-0.26155402678830614,DDD
2013.0,Q1,912093,2012-11-08,120900000,-0.08304327250255478,VIAV
2013.0,Q1,913142,2013-05-08,34233000,-0.22437862364114236,BDC
2013.0,Q1,915779,2012-08-31,11739000,-0.26106152934355953,DAKT
2013.0,Q1,917273,2013-04-26,71242000,-0.1640248556523117,RMBS
2013.0,Q1,917491,2013-04-30,9533000,-0.26465904379094696,FARO
2013.0,Q1,923601,2013-08-19,38857,-0.2801419615643205,MICS
2013.0,Q1,924383,2013-02-06,803239,-0.278895417915942,GNSS
2013.0,Q1,926282,2013-05-08,57306000,-0.18675149270525407,ADTN
2013.0,Q1,936395,2013-03-13,178789000,0.011361312195908274,CIEN
2013.0,Q1,944075,2013-05-15,1308795,-0.27807096414714627,SCKT
2013.0,Q1,948708,2013-05-03,13040000,-0.25893987644417105,SMSI
2013.0,Q1,1002047,2012-08-30,420000000,0.4047248921454837,NTAP
2013.0,Q1,1005284,2013-05-09,15599000,-0.25476669445375205,OLED
2013.0,Q1,1005757,2013-05-07,56467000,-0.1881197223613547,CSGS
2013.0,Q1,1007587,2013-05-09,6091000,-0.2702722100320655,KVHI
2013.0,Q1,1013462,2013-05-02,67508000,-0.17011421147576797,ANSS
2013.0,Q1,1013857,2013-05-06,38580000,-0.21728959585202492,PEGA
2013.0,Q1,1014473,2013-04-25,32941000,-0.22648559946436292,VRSN
2013.0,Q1,1015739,2013-04-29,2993000,-0.2753243858063203,AWRE
2013.0,Q1,1017303,2013-05-10,2225000,-0.2765768296393183,TACT
2013.0,Q1,1022652,2013-05-10,29640000,-0.23186882484551696,INSG
2013.0,Q1,1023731,2013-07-26,4162000,-0.27341799669072836,EGHT
2013.0,Q1,1032975,2013-08-07,75214000,-0.1575473727035253,LOGI
2013.0,Q1,1036262,2013-05-15,1920000,-0.27707421944278754,INTT
2013.0,Q1,1038074,2013-04-24,70512000,-0.16521532960815613,SLAB
2013.0,Q1,1039065,2012-10-24,22196000,-0.24400839762264834,OSIS
2013.0,Q1,1039399,2013-05-03,21776000,-0.24469332784381911,FORM
2013.0,Q1,1040161,2013-05-03,10977000,-0.26230418845911224,PXLW
2013.0,Q1,1040470,2012-10-12,2012000,-0.2769241871086263,AEHR
2013.0,Q1,1040896,2013-05-09,1161959,-0.27831042227561253,IDN
2013.0,Q1,1043604,2013-05-08,531800000,0.5870467938761781,JNPR
2013.0,Q1,1044777,2013-05-03,9549000,-0.2646329512110928,OSPN
2013.0,Q1,1045810,2013-05-22,611063000,0.7163078036872695,NVDA
2013.0,Q1,1047127,2013-05-03,27731000,-0.23498199577936218,AMKR
2013.0,Q1,1048695,2013-02-07,87663000,-0.13724571479077563,FFIV
2013.0,Q1,1049502,2013-05-08,31432000,-0.22894645590185503,MKSI
2013.0,Q1,1050446,2013-05-03,47991000,-0.20194226653907713,MSTR
2013.0,Q1,1051627,2013-05-10,1657000,-0.2775031162241397,AXTI
2013.0,Q1,1056696,2013-04-30,23027000,-0.24265321425647476,MANH
2013.0,Q1,1058811,2013-05-07,4767000,-0.27243137101499426,IMMR
2013.0,Q1,1066194,2012-11-14,3380000,-0.2746932715310987,EGAN
2013.0,Q1,1066923,2013-05-14,241307,-0.27981180888985374,FTFT
2013.0,Q1,1074828,2013-02-11,205379,-0.27987039977791617,KNW
2013.0,Q1,1076930,2013-05-08,12394000,-0.2599933643557813,NOVT
2013.0,Q1,1078075,2013-08-02,30042000,-0.2312132487766821,NTCT
2013.0,Q1,1078271,2012-11-01,22974000,-0.24273964592724154,EXTR
2013.0,Q1,1082324,2013-05-10,560000,-0.2792920887303881,VHC
2013.0,Q1,1086222,2013-05-10,39385000,-0.2159768129281143,AKAM
2013.0,Q1,1092699,2013-05-02,4235000,-0.2732989492951439,SPSC
2013.0,Q1,1101302,2013-04-26,24162000,-0.24080227187307282,ENTG
2013.0,Q1,1101680,2013-05-03,8585000,-0.2662050291473038,DZSI
2013.0,Q1,1102993,2013-05-10,14678000,-0.2562686485816051,LPSN
2013.0,Q1,1107843,2013-05-10,10398000,-0.26324841369258334,QLYS
2013.0,Q1,1108524,2013-05-24,226715000,0.08951837357645623,CRM
2013.0,Q1,1111928,2013-05-10,15938000,-0.25421385791809276,IPGP
2013.0,Q1,1113232,2013-05-06,20875000,-0.24616266624685448,ACLS
2013.0,Q1,1114925,2012-11-01,3304000,-0.27481721128540576,LTRX
2013.0,Q1,1120914,2013-05-08,6521000,-0.2695709719484859,PDFS
2013.0,Q1,1121788,2013-05-08,167408000,-0.0071986660115786055,GRMN
2013.0,Q1,1122904,2013-05-07,29459000,-0.23216399715511674,NTGR
2013.0,Q1,1126741,2013-08-06,5835000,-0.2706896913097315,GSIT
2013.0,Q1,1131554,2013-05-03,29594000,-0.23194384101259757,SNCR
2013.0,Q1,1137789,2012-10-31,476000000,0.4960489216349191,STX
2013.0,Q1,1138639,2013-05-07,60711000,-0.1811986655550482,INFN
2013.0,Q1,1166388,2013-06-03,58431000,-0.18491685818426093,VRNT
2013.0,Q1,1169561,2013-08-01,23802000,-0.2413893549197906,CVLT
